Microsoft(R) Windows 95
   (C)Copyright Microsoft Corp 1981-1996.

C:\Program Files\JDK\bin>java Convert

                James Poulette's Java Temperature Table
                ---------------------------------------

      Fahrenheit               Celcius                   Kelvin
      ----------               -------                   ------
        32.00                   0.000                   273.1500
        42.00                   5.556                   278.7056
        52.00                   11.111                  284.2611
        62.00                   16.667                  289.8167
        72.00                   22.222                  295.3722
        82.00                   27.778                  300.9278
        92.00                   33.333                  306.4833
        102.00                  38.889                  312.0389
        112.00                  44.444                  317.5944
        122.00                  50.000                  323.1500
        132.00                  55.556                  328.7056
        142.00                  61.111                  334.2611
        152.00                  66.667                  339.8167
        162.00                  72.222                  345.3722
        172.00                  77.778                  350.9278
        182.00                  83.333                  356.4833
        192.00                  88.889                  362.0389
        202.00                  94.444                  367.5944
        212.00                  100.000                 373.1500

C:\Program Files\JDK\bin>
